group_id,min_member,member_count,first_submit_ts,last_submit_ts,first_scheduled_ts,last_scheduled_ts,last_bound_ts,group_ready_ts,t_submit_ms,t_group_ready_ms,total_submit_attempts,max_submit_attempts,censored
smoke2-gang-000000,4,4,2026-07-30T03:47:05.724163Z,2026-07-30T03:47:06.452402Z,2026-07-30T03:47:05.739994Z,2026-07-30T03:47:19.732003Z,2026-07-30T03:47:19.732003Z,2026-07-30T03:47:19.746182Z,728.239,14022.019,4,1,false
smoke2-gang-000001,4,4,2026-07-30T03:47:06.69193Z,2026-07-30T03:47:07.454076Z,2026-07-30T03:47:19.732801Z,2026-07-30T03:47:19.732801Z,2026-07-30T03:47:19.732801Z,2026-07-30T03:47:19.750561Z,762.146,13058.631,4,1,true
smoke2-gang-000002,4,4,2026-07-30T03:47:07.696309Z,2026-07-30T03:47:08.453106Z,,,,,756.797,,4,1,true
smoke2-gang-000003,4,4,2026-07-30T03:47:08.702617Z,2026-07-30T03:47:09.459158Z,,,,,756.541,,4,1,true
smoke2-gang-000004,4,4,2026-07-30T03:47:09.703295Z,2026-07-30T03:47:10.464425Z,,,,,761.130,,4,1,true
smoke2-gang-000005,4,4,2026-07-30T03:47:10.717435Z,2026-07-30T03:47:11.467703Z,,,,,750.268,,4,1,true
smoke2-gang-000006,4,4,2026-07-30T03:47:11.717307Z,2026-07-30T03:47:12.467273Z,,,,,749.966,,4,1,true
smoke2-gang-000007,4,4,2026-07-30T03:47:12.722105Z,2026-07-30T03:47:13.47136Z,,,,,749.255,,4,1,true
smoke2-gang-000008,4,4,2026-07-30T03:47:13.720039Z,2026-07-30T03:47:14.480638Z,,,,,760.599,,4,1,true
smoke2-gang-000009,4,4,2026-07-30T03:47:14.731763Z,2026-07-30T03:47:15.49377Z,,,,,762.007,,4,1,true
smoke2-gang-000010,4,4,2026-07-30T03:47:15.735972Z,2026-07-30T03:47:16.491543Z,,,,,755.571,,4,1,true
smoke2-gang-000011,4,4,2026-07-30T03:47:16.744615Z,2026-07-30T03:47:17.497003Z,,,,,752.388,,4,1,true
smoke2-gang-000012,4,4,2026-07-30T03:47:17.748217Z,2026-07-30T03:47:18.495033Z,,,,,746.816,,4,1,true
smoke2-gang-000013,4,4,2026-07-30T03:47:18.746559Z,2026-07-30T03:47:19.500019Z,2026-07-30T03:47:20.738476Z,2026-07-30T03:47:20.742041Z,2026-07-30T03:47:20.742041Z,2026-07-30T03:47:20.760115Z,753.460,2013.556,4,1,true
smoke2-gang-000014,4,4,2026-07-30T03:47:19.753118Z,2026-07-30T03:47:20.508465Z,,,,,755.347,,4,1,true
smoke2-gang-000015,4,4,2026-07-30T03:47:20.75453Z,2026-07-30T03:47:21.516016Z,,,,,761.486,,4,1,true
smoke2-gang-000016,4,4,2026-07-30T03:47:21.765024Z,2026-07-30T03:47:22.513502Z,,,,,748.478,,4,1,true
smoke2-gang-000017,4,4,2026-07-30T03:47:22.762672Z,2026-07-30T03:47:23.516135Z,,,,,753.463,,4,1,true
smoke2-gang-000018,4,4,2026-07-30T03:47:23.786017Z,2026-07-30T03:47:24.539223Z,,,,,753.206,,4,1,true
smoke2-gang-000019,4,3,2026-07-30T03:47:24.772551Z,2026-07-30T03:47:25.274015Z,,,,,501.464,,3,1,true
