phase,count,total,censored,censored_rate,p50_ms,p95_ms,p99_ms
scheduling,8,79,71,0.8987,1735.549,13529.076,13529.076
binding,8,79,71,0.8987,0.000,0.000,0.000
cold-start,8,79,71,0.8987,17.759,33.997,33.997
end-to-end,8,79,71,0.8987,1749.263,13547.325,13547.325
