ts,cpu_percent,mem_mb
2026-08-03T09:04:25.696746Z,35.950,4076.625
2026-08-03T09:04:26.715898Z,40.300,4207.703
2026-08-03T09:04:27.720754Z,52.025,4265.328
2026-08-03T09:04:28.716294Z,32.788,4242.422
2026-08-03T09:04:29.712842Z,47.500,4234.312
2026-08-03T09:04:30.714556Z,33.062,4277.891
