NAME          STATUS   ROLES   AGE   VERSION
node-000122   Ready    agent   2s    kwok-v0.8.0
node-000123   Ready    agent   2s    kwok-v0.8.0
node-000124   Ready    agent   2s    kwok-v0.8.0
node-000125   Ready    agent   2s    kwok-v0.8.0
node-000126   Ready    agent   2s    kwok-v0.8.0
node-000127   Ready    agent   2s    kwok-v0.8.0
node-000128   Ready    agent   2s    kwok-v0.8.0
node-000129   Ready    agent   2s    kwok-v0.8.0
node-000130   Ready    agent   2s    kwok-v0.8.0
node-000131   Ready    agent   2s    kwok-v0.8.0
node-000132   Ready    agent   2s    kwok-v0.8.0
node-000133   Ready    agent   2s    kwok-v0.8.0
node-000134   Ready    agent   2s    kwok-v0.8.0
node-000135   Ready    agent   2s    kwok-v0.8.0
node-000136   Ready    agent   2s    kwok-v0.8.0
node-000137   Ready    agent   2s    kwok-v0.8.0
node-000138   Ready    agent   2s    kwok-v0.8.0
node-000139   Ready    agent   2s    kwok-v0.8.0
node-000140   Ready    agent   2s    kwok-v0.8.0
node-000141   Ready    agent   2s    kwok-v0.8.0
node-000142   Ready    agent   2s    kwok-v0.8.0
node-000143   Ready    agent   2s    kwok-v0.8.0
node-000144   Ready    agent   2s    kwok-v0.8.0
node-000145   Ready    agent   2s    kwok-v0.8.0
node-000146   Ready    agent   2s    kwok-v0.8.0
node-000147   Ready    agent   2s    kwok-v0.8.0
node-000148   Ready    agent   2s    kwok-v0.8.0
node-000149   Ready    agent   2s    kwok-v0.8.0
node-000150   Ready    agent   2s    kwok-v0.8.0
node-000151   Ready    agent   2s    kwok-v0.8.0
node-000152   Ready    agent   2s    kwok-v0.8.0
node-000153   Ready    agent   2s    kwok-v0.8.0
node-000154   Ready    agent   2s    kwok-v0.8.0
node-000155   Ready    agent   2s    kwok-v0.8.0
node-000156   Ready    agent   2s    kwok-v0.8.0
node-000157   Ready    agent   2s    kwok-v0.8.0
node-000158   Ready    agent   2s    kwok-v0.8.0
node-000159   Ready    agent   2s    kwok-v0.8.0
node-000160   Ready    agent   2s    kwok-v0.8.0
