phase,count,total,censored,censored_rate,p50_ms,p95_ms,p99_ms
scheduling,80,80,0,0.0000,284.419,765.686,788.139
binding,80,80,0,0.0000,0.000,0.000,0.000
cold-start,80,80,0,0.0000,11.536,37.624,58.210
end-to-end,80,80,0,0.0000,340.455,777.023,846.344
