uid,name,group_id,min_member,member_index,attempts,submit_ts,scheduled_ts,bound_ts,ready_ts,scheduling_ms,binding_ms,coldstart_ms,e2e_ms,censored
81d63eb4-7b5e-48c7-b1ca-f1d89007f1b7,loadgen-37-7xpd9,smoke3-gang-000009,4,1,1,2026-07-30T04:24:31.512255Z,,,,,,,,true
d531ed7a-8110-413f-aa0f-fbeed8ec481d,loadgen-38-t9cw5,smoke3-gang-000009,4,2,1,2026-07-30T04:24:31.737639Z,,,,,,,,true
b327f2ea-a80e-4bf8-86a7-a79df446ba86,loadgen-39-dtwbp,smoke3-gang-000009,4,3,1,2026-07-30T04:24:31.990418Z,,,,,,,,true
e520c5bd-db8b-445b-8dce-e4a759378f1d,loadgen-40-9dmst,smoke3-gang-000010,4,0,1,2026-07-30T04:24:32.244256Z,,,,,,,,true
1c2e8e0c-0f53-4b1e-be69-328537b5b9e6,loadgen-41-j7qxc,smoke3-gang-000010,4,1,1,2026-07-30T04:24:32.497789Z,,,,,,,,true
45ba9794-3f20-460c-b94a-e00b55e610b8,loadgen-42-pxsqj,smoke3-gang-000010,4,2,1,2026-07-30T04:24:32.749889Z,,,,,,,,true
7de004a5-f346-43d4-876e-cb40d00cd2c2,loadgen-43-t8lhs,smoke3-gang-000010,4,3,1,2026-07-30T04:24:33.002407Z,,,,,,,,true
c898ad74-8481-4c4c-a318-8514567a33e0,loadgen-44-5vsqg,smoke3-gang-000011,4,0,1,2026-07-30T04:24:33.250362Z,,,,,,,,true
a056fa26-d217-489e-9f22-2414d08feb43,loadgen-45-2m89j,smoke3-gang-000011,4,1,1,2026-07-30T04:24:33.496935Z,,,,,,,,true
16f31cf2-9f87-4b18-8b5f-651b19549d25,loadgen-46-d2g8g,smoke3-gang-000011,4,2,1,2026-07-30T04:24:33.748095Z,,,,,,,,true
8ac2d840-761b-4392-b776-510db03c274d,loadgen-47-67w8c,smoke3-gang-000011,4,3,1,2026-07-30T04:24:34.007162Z,,,,,,,,true
a2cc3a0b-bd5a-4fc1-b12f-86d04e9db3dd,loadgen-48-4c6rs,smoke3-gang-000012,4,0,1,2026-07-30T04:24:34.270945Z,,,,,,,,true
42bcdd7e-fdcb-4910-8695-0870ff2cfdab,loadgen-49-hch7v,smoke3-gang-000012,4,1,1,2026-07-30T04:24:34.521225Z,,,,,,,,true
4681d523-3c7b-48a0-a8ae-c90516698f54,loadgen-50-sphqq,smoke3-gang-000012,4,2,1,2026-07-30T04:24:34.757562Z,,,,,,,,true
8b2620bd-4aec-4789-98a2-9a2dd937a435,loadgen-51-9zvwk,smoke3-gang-000012,4,3,1,2026-07-30T04:24:35.006528Z,,,,,,,,true
5c8d4887-e50a-43e4-9cb0-91ff96bf1c76,loadgen-52-vpshf,smoke3-gang-000013,4,0,1,2026-07-30T04:24:35.254598Z,,,,,,,,true
3f5161a3-9777-4457-b28a-9280c22c70ae,loadgen-53-2lph6,smoke3-gang-000013,4,1,1,2026-07-30T04:24:35.507275Z,,,,,,,,true
fedd00a0-a92d-46a5-9aea-d4727c80175e,loadgen-54-j25nf,smoke3-gang-000013,4,2,1,2026-07-30T04:24:35.756805Z,,,,,,,,true
6e81c4e6-fa09-4e5e-8499-e3c07b72dd53,loadgen-55-v9k46,smoke3-gang-000013,4,3,1,2026-07-30T04:24:36.011187Z,,,,,,,,true
5d19bd55-b005-4dca-a62f-710c83f6b119,loadgen-56-rtpkl,smoke3-gang-000014,4,0,1,2026-07-30T04:24:36.261861Z,,,,,,,,true
9ab4873a-3699-44d4-9cf8-a3770d3c4cef,loadgen-57-m5hxx,smoke3-gang-000014,4,1,1,2026-07-30T04:24:36.513682Z,,,,,,,,true
9c1cf4c4-d171-4e23-a01a-12e0ba5baf82,loadgen-58-kt2vq,smoke3-gang-000014,4,2,1,2026-07-30T04:24:36.759615Z,,,,,,,,true
ed56bac0-cad0-41ca-8ea7-d07f26afffdb,loadgen-59-ctmp5,smoke3-gang-000014,4,3,1,2026-07-30T04:24:37.01087Z,,,,,,,,true
dbfb5bda-9fb0-46a9-9af2-067ca4216085,loadgen-60-725p4,smoke3-gang-000015,4,0,1,2026-07-30T04:24:37.267742Z,,,,,,,,true
abdf76b0-60ef-4c22-b4f3-101298e2fc13,loadgen-61-pwqxb,smoke3-gang-000015,4,1,1,2026-07-30T04:24:37.513948Z,,,,,,,,true
838c213b-a3c5-4dd8-8166-7e732bdcf7e8,loadgen-62-7tpdc,smoke3-gang-000015,4,2,1,2026-07-30T04:24:37.765077Z,,,,,,,,true
17c390f9-f71c-4e41-9048-a5e74c1df7c1,loadgen-63-d927z,smoke3-gang-000015,4,3,1,2026-07-30T04:24:38.020412Z,,,,,,,,true
cb68163d-7ebc-4abe-9644-99a0c3fed892,loadgen-64-7g6zk,smoke3-gang-000016,4,0,1,2026-07-30T04:24:38.271614Z,,,,,,,,true
09f730ad-29d8-48da-81d4-6a1d9ae398eb,loadgen-65-h7lh7,smoke3-gang-000016,4,1,1,2026-07-30T04:24:38.519084Z,,,,,,,,true
