group_id,min_member,member_count,first_submit_ts,last_submit_ts,first_scheduled_ts,last_scheduled_ts,last_bound_ts,group_ready_ts,t_submit_ms,t_group_ready_ms,total_submit_attempts,max_submit_attempts,censored
smoke3-gang-000000,4,4,2026-07-30T04:24:22.242656Z,2026-07-30T04:24:22.954514Z,,,,,711.858,,4,1,true
smoke3-gang-000001,4,4,2026-07-30T04:24:23.206339Z,2026-07-30T04:24:23.962742Z,,,,,756.403,,4,1,true
smoke3-gang-000002,4,4,2026-07-30T04:24:24.205593Z,2026-07-30T04:24:24.956924Z,,,,,751.331,,4,1,true
smoke3-gang-000003,4,4,2026-07-30T04:24:25.208374Z,2026-07-30T04:24:25.964211Z,,,,,755.837,,4,1,true
smoke3-gang-000004,4,4,2026-07-30T04:24:26.213247Z,2026-07-30T04:24:26.964901Z,,,,,751.654,,4,1,true
smoke3-gang-000005,4,4,2026-07-30T04:24:27.3133Z,2026-07-30T04:24:27.979961Z,,,,,666.661,,4,1,true
smoke3-gang-000006,4,4,2026-07-30T04:24:28.228991Z,2026-07-30T04:24:28.979647Z,,,,,750.656,,4,1,true
smoke3-gang-000007,4,4,2026-07-30T04:24:29.230697Z,2026-07-30T04:24:30.013296Z,,,,,782.599,,4,1,true
smoke3-gang-000008,4,4,2026-07-30T04:24:30.238182Z,2026-07-30T04:24:30.99152Z,,,,,753.338,,4,1,true
smoke3-gang-000009,4,4,2026-07-30T04:24:31.237065Z,2026-07-30T04:24:31.990418Z,,,,,753.353,,4,1,true
smoke3-gang-000010,4,4,2026-07-30T04:24:32.244256Z,2026-07-30T04:24:33.002407Z,,,,,758.151,,4,1,true
smoke3-gang-000011,4,4,2026-07-30T04:24:33.250362Z,2026-07-30T04:24:34.007162Z,,,,,756.800,,4,1,true
smoke3-gang-000012,4,4,2026-07-30T04:24:34.270945Z,2026-07-30T04:24:35.006528Z,,,,,735.583,,4,1,true
smoke3-gang-000013,4,4,2026-07-30T04:24:35.254598Z,2026-07-30T04:24:36.011187Z,,,,,756.589,,4,1,true
smoke3-gang-000014,4,4,2026-07-30T04:24:36.261861Z,2026-07-30T04:24:37.01087Z,,,,,749.009,,4,1,true
smoke3-gang-000015,4,4,2026-07-30T04:24:37.267742Z,2026-07-30T04:24:38.020412Z,,,,,752.670,,4,1,true
smoke3-gang-000016,4,4,2026-07-30T04:24:38.271614Z,2026-07-30T04:24:39.017913Z,,,,,746.299,,4,1,true
smoke3-gang-000017,4,4,2026-07-30T04:24:39.274904Z,2026-07-30T04:24:40.022085Z,,,,,747.181,,4,1,true
smoke3-gang-000018,4,4,2026-07-30T04:24:40.281145Z,2026-07-30T04:24:41.029886Z,,,,,748.741,,4,1,true
smoke3-gang-000019,4,3,2026-07-30T04:24:41.298579Z,2026-07-30T04:24:41.780877Z,,,,,482.298,,3,1,true
