phase,count,total,censored,censored_rate,p50_ms,p95_ms,p99_ms
scheduling,76,79,3,0.0380,278.550,768.825,770.458
binding,76,79,3,0.0380,0.000,0.000,0.000
cold-start,76,79,3,0.0380,11.262,26.628,27.497
end-to-end,76,79,3,0.0380,296.786,781.799,794.236
