uid,name,group_id,min_member,member_index,attempts,submit_ts,scheduled_ts,bound_ts,ready_ts,scheduling_ms,binding_ms,coldstart_ms,e2e_ms,censored
00c1f645-1eb2-4718-97cb-d9ad1c4b9e8a,loadgen-0-2brfr,smoke6-gang-000000,4,0,1,2026-07-30T05:07:23.999601Z,2026-07-30T05:07:24.760649Z,2026-07-30T05:07:24.760649Z,2026-07-30T05:07:24.782198Z,761.048,0.000,21.549,782.597,false
439057da-2cce-4558-91f5-aed8c3ac7fa3,loadgen-1-mjqj7,smoke6-gang-000000,4,1,1,2026-07-30T05:07:24.231581Z,2026-07-30T05:07:24.761179Z,2026-07-30T05:07:24.761179Z,2026-07-30T05:07:24.782895Z,529.598,0.000,21.716,551.314,false
7c31652a-0ea2-44f9-a79b-1c9850f0c6f6,loadgen-2-krbt4,smoke6-gang-000000,4,2,1,2026-07-30T05:07:24.482375Z,2026-07-30T05:07:24.760925Z,2026-07-30T05:07:24.760925Z,2026-07-30T05:07:24.779161Z,278.550,0.000,18.236,296.786,false
4f4813c4-4a15-47cb-9fd7-51645a4ef4aa,loadgen-3-hxdjt,smoke6-gang-000000,4,3,1,2026-07-30T05:07:24.739402Z,2026-07-30T05:07:24.760407Z,2026-07-30T05:07:24.760407Z,2026-07-30T05:07:24.782633Z,21.005,0.000,22.226,43.231,false
ce97c4ef-404f-469f-af54-5c4adbdfd914,loadgen-4-7dccn,smoke6-gang-000001,4,0,1,2026-07-30T05:07:24.977546Z,2026-07-30T05:07:25.742759Z,2026-07-30T05:07:25.742759Z,2026-07-30T05:07:25.750668Z,765.213,0.000,7.909,773.122,false
f1677e0c-5a00-4e67-9fe5-6a71f99212fb,loadgen-5-tpnjj,smoke6-gang-000001,4,1,1,2026-07-30T05:07:25.236894Z,2026-07-30T05:07:25.742882Z,2026-07-30T05:07:25.742882Z,2026-07-30T05:07:25.750665Z,505.988,0.000,7.783,513.771,false
1f276adb-e2c6-4919-abf8-a4754d727cf1,loadgen-6-mn5sr,smoke6-gang-000001,4,2,1,2026-07-30T05:07:25.48093Z,2026-07-30T05:07:25.742961Z,2026-07-30T05:07:25.742961Z,2026-07-30T05:07:25.751109Z,262.031,0.000,8.148,270.179,false
ce80df50-6163-44bd-b8ab-7623a94caf3a,loadgen-7-7gh7n,smoke6-gang-000001,4,3,1,2026-07-30T05:07:25.734161Z,2026-07-30T05:07:25.740798Z,2026-07-30T05:07:25.740798Z,2026-07-30T05:07:25.748585Z,6.637,0.000,7.786,14.424,false
542265c8-0573-404a-97ad-c90b7a18c3ab,loadgen-8-rfqfk,smoke6-gang-000002,4,0,1,2026-07-30T05:07:25.985404Z,2026-07-30T05:07:26.750971Z,2026-07-30T05:07:26.750971Z,2026-07-30T05:07:26.777872Z,765.567,0.000,26.900,792.468,false
817d443e-101f-4434-9cbe-d3ecf04b7a2e,loadgen-9-ctsz5,smoke6-gang-000002,4,1,1,2026-07-30T05:07:26.235715Z,2026-07-30T05:07:26.750813Z,2026-07-30T05:07:26.750813Z,2026-07-30T05:07:26.776035Z,515.098,0.000,25.222,540.320,false
9812e33c-a1a6-430c-8a5c-3ab21904acea,loadgen-10-zwv5h,smoke6-gang-000002,4,2,1,2026-07-30T05:07:26.487956Z,2026-07-30T05:07:26.750652Z,2026-07-30T05:07:26.750652Z,2026-07-30T05:07:26.765456Z,262.696,0.000,14.804,277.500,false
7dcba33b-7d0f-4edd-8b16-a74e9cf3e8cb,loadgen-11-7ghcv,smoke6-gang-000002,4,3,1,2026-07-30T05:07:26.740279Z,2026-07-30T05:07:26.746871Z,2026-07-30T05:07:26.746871Z,2026-07-30T05:07:26.7654Z,6.592,0.000,18.529,25.121,false
3a082406-3164-4bd5-8758-070a4a248a3f,loadgen-12-lg67z,smoke6-gang-000003,4,0,1,2026-07-30T05:07:26.989203Z,2026-07-30T05:07:27.759026Z,2026-07-30T05:07:27.759026Z,2026-07-30T05:07:27.765058Z,769.823,0.000,6.031,775.855,false
f9b37708-35bc-472f-81dc-0e99a8cf46b5,loadgen-13-5t4x8,smoke6-gang-000003,4,1,1,2026-07-30T05:07:27.236675Z,2026-07-30T05:07:27.759633Z,2026-07-30T05:07:27.759633Z,2026-07-30T05:07:27.766298Z,522.958,0.000,6.665,529.623,false
7269b1f0-d7d0-406e-809b-150effac6c73,loadgen-14-jqlzj,smoke6-gang-000003,4,2,1,2026-07-30T05:07:27.493053Z,2026-07-30T05:07:27.759395Z,2026-07-30T05:07:27.759395Z,2026-07-30T05:07:27.786744Z,266.342,0.000,27.349,293.691,false
95633e4b-9034-4e63-9e8d-b893deafd2ab,loadgen-15-b76mn,smoke6-gang-000003,4,3,1,2026-07-30T05:07:27.74597Z,2026-07-30T05:07:27.753946Z,2026-07-30T05:07:27.753946Z,2026-07-30T05:07:27.764756Z,7.976,0.000,10.809,18.786,false
34033fc2-eb9d-4491-b6e3-7bfd1729a97b,loadgen-16-44nq8,smoke6-gang-000004,4,0,1,2026-07-30T05:07:27.994408Z,2026-07-30T05:07:28.763233Z,2026-07-30T05:07:28.763233Z,2026-07-30T05:07:28.788644Z,768.825,0.000,25.411,794.236,false
fe6117e4-d3eb-4e2a-ba89-f0db99903b06,loadgen-17-nqhq2,smoke6-gang-000004,4,1,1,2026-07-30T05:07:28.242371Z,2026-07-30T05:07:28.756418Z,2026-07-30T05:07:28.756418Z,2026-07-30T05:07:28.783915Z,514.047,0.000,27.497,541.544,false
