phase,count,total,censored,censored_rate,p50_ms,p95_ms,p99_ms
scheduling,3,3498,1852,0.5294,4.272,30.230,30.230
binding,1646,3498,1852,0.5294,495.085,955.228,993.979
cold-start,0,3498,1852,0.5294,0.000,0.000,0.000
end-to-end,4,3498,1852,0.5294,1.207,30.230,30.230
